,,date,16_1,16_1,16_1,16_1,16_1,16_2,16_2,16_2,16_2,16_2,16_3,16_3,16_3,16_3,16_3,16_4,16_4,16_4,16_4,16_4,16_5,16_5,16_5,16_5,16_5,16_6,16_6,16_6,16_6,16_6,16_7,16_7,16_7,16_7,16_7,16_8,16_8,16_8,16_8,16_8,16_9,16_9,16_9,16_9,16_9,16_10,16_10,16_10,16_10,16_10,16_11,16_11,16_11,16_11,16_11,16_12,16_12,16_12,16_12,16_12,17_1,17_1,17_1,17_1,17_1,17_2,17_2,17_2,17_2,17_2,17_3,17_3,17_3,17_3,17_3,17_4,17_4,17_4,17_4,17_4,17_5,17_5,17_5,17_5,17_5,17_6,17_6,17_6,17_6,17_6,17_7,17_7,17_7,17_7,17_7,17_8,17_8,17_8,17_8,17_8,17_9,17_9,17_9,17_9,17_9,17_10,17_10,17_10,17_10,17_10,17_11,17_11,17_11,17_11,17_11,17_12,17_12,17_12,17_12,17_12,18_1,18_1,18_1,18_1,18_1,18_2,18_2,18_2,18_2,18_2,18_3,18_3,18_3,18_3,18_3,18_4,18_4,18_4,18_4,18_4,18_5,18_5,18_5,18_5,18_5,18_6,18_6,18_6,18_6,18_6,18_7,18_7,18_7,18_7,18_7,18_8,18_8,18_8,18_8,18_8,18_9,18_9,18_9,18_9,18_9,18_10,18_10,18_10,18_10,18_10,18_11,18_11,18_11,18_11,18_11,18_12,18_12,18_12,18_12,18_12
code,sex,age,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금,pNum,내원일수,청구건수,요양급여비용총액,보험자부담금
J00,male,70_79,39476,54704,54665,591569,494330,39657,55080,55006,608453,504347,31744,44132,44099,483602,400575,25341,34550,34514,393091,323134,21522,29006,28965,334189,274033,15977,21468,21432,251820,204804,12714,16612,16594,198392,161683,12772,16929,16903,198679,161041,18384,24274,24219,282999,230840,24071,31889,31781,362319,298289,29082,39405,39313,443443,366809,38366,53203,53138,602543,496963,36524,51008,50957,579053,481818,29058,39384,39303,455354,377850,30271,41417,41304,479262,397111,27213,36566,36563,434915,357947,22688,30961,30910,378396,309799,15892,21246,21235,266358,215743,11579,15308,15304,195229,158011,13040,17154,17138,211633,171474,18281,24621,24605,299783,244994,21198,27304,27300,337162,274494,29370,39321,39324,464557,384207,39890,54187,54150,646802,534278,52530,76165,76125,928270,771260,32516,43473,43441,526662,438205,25492,34161,34163,435822,359392,23955,31971,31983,406164,336297,22149,29662,29634,375980,312224,15688,20927,20928,271204,224422,11818,15441,15450,203441,167054,10767,14215,14208,186452,153810,15542,20117,20100,257285,214773,25918,34563,34525,426353,357336,29584,39663,39653,494069,413496,35757,48439,48444,598971,498997
J00,male,80,12146,16851,16841,182134,151245,12244,17088,17067,188588,155579,10833,15159,15158,165316,137009,8774,12073,12041,137944,112723,7641,10413,10368,124015,100883,6090,8385,8344,102388,82810,4936,6602,6568,79327,64248,4778,6512,6484,79800,64195,6775,9213,9145,109759,89662,8533,11494,11468,130447,107436,10219,14129,14108,157874,130674,12561,17593,17584,200527,165114,12931,18379,18338,208388,173494,10511,14331,14322,162611,135463,10878,15263,15204,180048,149607,9822,13391,13350,165640,135462,8592,11786,11771,143651,118179,6322,8589,8573,104303,85829,4829,6474,6470,82375,66471,5396,7263,7255,91551,74581,7314,9974,9979,118766,98445,8005,10505,10503,128522,105613,10737,14784,14758,177004,146765,13957,19106,19072,234096,193864,18692,27428,27329,342329,282888,12497,17011,16999,206724,171223,10149,13858,13837,170544,141006,9292,12649,12652,155172,128772,8893,12253,12206,154228,127932,6477,8736,8696,116319,95940,5078,6834,6805,92580,75314,4930,6570,6559,84166,69575,6501,8527,8528,106620,89391,10398,14208,14110,179288,149633,11679,15766,15771,191147,159238,13612,18563,18552,227224,189309
J00,female,total,413971,534322,533429,7091904,5281369,446909,576477,575457,7928989,5828374,422401,561918,560990,7614508,5657434,356114,466029,465318,6416136,4747119,305798,395720,394925,5494723,4075810,241608,308526,308059,4285924,3183623,218508,277349,276966,3907618,2900471,216436,270248,269805,3828170,2835595,292591,370124,369873,5160841,3814352,356246,459129,458702,6292046,4670175,388870,506603,506251,6769555,5027991,514938,672351,671693,9163578,6708776,377372,487604,486931,6670529,4977615,318321,410512,410215,5619304,4216674,389953,512753,512358,7168475,5339739,379617,493993,493573,7097820,5239724,315645,407664,407201,5914384,4388164,249202,322137,321845,4669663,3468138,213226,272755,272427,4031011,2996749,229857,288945,288517,4260098,3160671,322257,419665,419337,6086599,4507576,318104,400463,400127,5933862,4394436,403951,529578,528973,7437700,5531270,500173,645601,644822,9295725,6845619,530307,700651,699510,10049478,7472505,338282,429992,429456,6230511,4664665,343889,449437,448980,6669619,4985329,344091,446949,446533,6651392,4940123,306325,395484,394869,5967855,4441973,235421,304387,304010,4641353,3463171,203663,261591,261232,4000104,2986298,181439,226478,226235,3488802,2600277,281854,357408,357012,5559380,4118698,360723,466915,466480,6870038,5135497,390754,510188,509705,7464841,5566324,455875,588315,587658,8787546,6477931
J00,female,0_9,96533,132565,132473,1833147,1394548,107183,146230,146152,2070976,1567350,134439,197987,197830,2730768,2079615,112952,162887,162735,2252385,1715038,102995,145293,145139,2044274,1560373,92096,125770,125666,1748511,1336580,94387,127655,127564,1791190,1367150,87876,116582,116459,1651021,1260567,98425,134908,134826,1911343,1456078,115088,164750,164652,2289258,1744516,114955,166437,166354,2260830,1719235,122452,175524,175408,2400577,1811695,87871,119946,119875,1707764,1302902,94910,132784,132735,1886276,1440653,115776,168788,168679,2409898,1839820,107099,154542,154426,2217886,1689943,97033,136095,135941,1989072,1522399,91689,128477,128382,1848908,1413534,94035,128101,127960,1876292,1433088,90318,121606,121387,1791704,1367990,107380,155314,155199,2241962,1711960,102852,142715,142525,2146328,1641251,116406,174031,173798,2469849,1884501,113135,162511,162251,2365586,1794558,88198,121945,121752,1810947,1379645,83172,112991,112829,1704709,1300117,109719,161521,161360,2408638,1841516,99936,145986,145716,2168761,1659651,88371,125559,125356,1901936,1458194,82035,115680,115501,1744715,1338817,86061,119043,118863,1786222,1369915,70470,93278,93183,1412163,1081013,95685,134209,134085,2078075,1588197,103746,151049,150840,2232473,1708982,105743,157682,157532,2302275,1754484,100767,146061,145838,2173363,1652016
J00,female,10_19,17801,20388,20371,298701,208032,22236,25510,25474,391493,269729,32087,37253,37229,561940,390406,27373,31716,31694,474177,329706,19529,22020,22007,333647,231448,16121,18120,18102,272609,189816,14645,16439,16405,253087,175944,13081,14490,14469,222852,154424,23338,26665,26650,397655,277271,24891,28550,28517,418904,293126,30584,35604,35591,509878,356978,49058,59039,58999,859697,596304,16284,18557,18510,283683,196130,14206,16086,16065,243546,169601,30186,34870,34842,541169,376899,31200,36323,36301,571116,394798,19953,22537,22520,356109,247092,16836,19074,19051,299003,207502,14031,15685,15681,249004,172313,16628,18613,18603,292177,203098,32007,37478,37455,575583,402171,21598,24354,24342,379247,264289,32611,38249,38225,566692,398527,39425,46622,46574,711303,496088,23607,27092,27065,422844,293303,13878,15600,15572,253121,175316,26564,30226,30237,488130,340751,30131,35039,35049,556234,386769,21842,24886,24849,401119,278786,16256,18494,18478,300242,209002,13295,14930,14911,243839,169822,11737,13070,13052,217705,150946,27505,31577,31542,510848,356919,26133,30046,30026,465318,325740,33021,38711,38703,592830,414561,39427,46664,46610,744480,515491
J00,female,20_29,26847,30496,30437,490126,329897,29164,32979,32930,552844,366026,26306,29789,29742,484663,324946,24059,27288,27276,441104,296474,19861,22394,22353,362472,243118,14081,15786,15745,257933,172805,12648,14016,14012,232276,154743,13768,15305,15242,254305,170829,20328,22714,22660,368197,247482,24358,27322,27303,442360,297945,25183,28461,28451,441669,298108,37215,42175,42140,678756,453538,25004,28153,28106,470858,316243,19036,21319,21326,347775,235092,25871,29208,29168,483002,328080,27445,31146,31105,525141,355676,21008,23723,23707,405166,272952,14311,16042,16035,274957,185756,11829,13185,13163,231152,156727,15435,17084,17076,291618,197728,22368,25200,25181,418955,285500,22110,24632,24626,426160,287867,27599,31129,31078,503945,344624,34448,38770,38734,656571,444162,39528,44833,44758,772820,522317,20275,22460,22437,397302,268023,21942,24584,24559,429512,292234,25580,28824,28821,498428,339453,22098,24976,24948,438644,298527,14510,16205,16183,292243,198263,11758,13084,13062,238204,161025,11656,12846,12842,232650,157463,20143,22381,22363,404281,274540,25859,29127,29123,504872,344399,26898,30226,30211,514577,350066,34443,38807,38790,701035,472327
J00,female,30_39,40902,48579,48485,746854,506939,46783,55395,55309,889295,593944,39058,46640,46566,718354,486226,34850,41562,41521,648662,438678,29085,34337,34281,538029,363559,20750,24247,24228,383514,259283,18359,21294,21270,338142,228858,19583,22440,22431,352181,238559,28767,33640,33628,523064,354487,35802,42328,42299,652395,443736,38122,45430,45398,691777,470927,53787,64650,64576,1011884,682028,34742,41135,41083,658158,448511,27766,32671,32643,518017,355661,34914,41676,41658,658937,452039,36800,43977,43964,715465,489230,29607,34697,34677,576158,392944,21912,25676,25658,426846,291683,17565,20383,20358,346174,236924,21314,24502,24475,407819,279425,31844,37923,37913,616869,425423,32355,37526,37492,630260,432193,40022,47587,47570,752829,518376,50200,59367,59334,976789,667681,50349,59624,59598,992592,677499,30778,35556,35512,596387,408446,29818,34899,34883,589652,406611,33888,40438,40433,679278,466519,29981,35576,35540,607293,417345,20955,24613,24594,428667,293811,17053,19735,19704,345711,237436,16768,19307,19301,335017,230367,29028,33808,33778,590265,405982,36358,42831,42799,714741,494448,37293,44308,44281,733881,507083,45415,53989,53891,931858,636730
J00,female,40_49,42325,51880,51806,750771,523505,46919,57795,57739,867170,595141,35176,43250,43232,625355,433625,31035,38153,38147,555684,386369,25404,30866,30855,456502,316291,18663,22244,22239,331910,229555,15497,18421,18419,278184,191878,16534,19423,19424,294622,202843,26194,31599,31585,468742,324964,31815,38412,38388,557593,389077,35950,44011,43977,627021,436917,55301,68723,68699,995988,687976,36362,44422,44377,660158,457591,26764,32499,32477,483362,336473,34223,42112,42103,630619,438144,36774,45419,45376,701377,484348,28325,34595,34519,538690,372680,19976,24301,24279,383510,264987,15172,18182,18181,288023,198269,17621,20894,20856,327155,226974,29659,36728,36690,565458,393155,28607,33961,33918,539237,373594,39250,47920,47861,717881,500174,55867,68481,68471,1059319,731993,60462,75912,75828,1186127,818249,31519,37874,37861,597594,413126,28611,34585,34574,550268,381737,31833,38918,38944,614566,425875,27731,33865,33864,541946,375340,19040,23006,22989,376618,260074,14768,17680,17665,294083,202804,13356,15860,15845,262131,181357,24973,30012,30009,494121,342256,32424,39341,39330,622865,433789,36408,44467,44443,698494,486411,49314,60655,60625,977804,673120
J00,female,50_59,59036,75067,74968,988759,707096,61222,78462,78293,1074565,759307,46220,58978,58863,789893,562952,38807,48818,48749,668949,474072,33060,41041,40884,565887,401271,23769,29164,29061,407536,287249,18949,23036,22971,321662,226716,20349,24564,24532,344103,242151,29561,36108,36107,495126,350396,38857,47698,47667,638495,455968,44726,55767,55762,733216,523914,65407,84000,83939,1138219,805832,52475,66830,66640,914036,650830,38537,47852,47780,655045,468955,44649,56668,56631,792063,563836,44157,55602,55596,798866,563682,36515,45683,45609,663984,468396,25380,31303,31268,462657,325293,18273,22374,22358,333707,233672,20794,24974,24938,369892,261144,30968,38367,38343,555050,392866,34424,41415,41386,606156,427734,46983,58607,58467,812546,579366,67631,84887,84835,1228386,866943,84120,110649,110432,1598004,1129086,44705,55554,55479,800291,567119,36446,44958,44905,670570,474791,37660,46754,46713,695194,491188,34911,43531,43460,657696,463714,24385,30383,30339,471681,331626,17675,21525,21531,334795,234153,16786,20174,20141,314950,221440,25607,30874,30810,483950,341208,40504,49983,49928,731404,520079,45929,56976,56890,839668,597595,59471,74669,74634,1106801,780622
J00,female,60_69,54727,71800,71734,858853,667354,56448,74839,74732,908554,699075,43958,58126,58012,699396,541644,36157,46900,46832,584237,448945,31511,40596,40562,508382,389559,22625,28754,28698,365843,279196,17456,21917,21869,283710,216714,18775,23424,23319,304711,231997,27701,34944,34908,436589,336043,36321,46113,46060,570466,439251,42697,55367,55282,667625,517690,58679,78022,77953,960890,736113,51497,68166,68113,842025,652202,39243,50512,50491,620172,481514,42759,55993,55919,704808,543709,40728,52755,52694,685325,525077,34080,44319,44295,587032,448138,23825,30445,30395,408022,309805,17091,21492,21428,292762,222687,19606,24469,24441,331543,251892,28412,36352,36333,484013,370978,33179,41070,41061,545517,416969,44500,57039,57026,733809,565832,62139,80837,80737,1056337,808484,78942,108833,108627,1433524,1111345,46625,59957,59888,794223,617605,37112,47381,47351,640327,497789,36283,46460,46452,634095,491008,34361,44189,44110,610825,472218,24095,30737,30713,437369,336347,17129,21701,21678,314112,240116,16585,20724,20686,304238,233350,25032,31024,31004,441689,339735,40841,52023,52015,694356,541898,46004,58867,58772,807508,629347,56281,73135,73060,988913,765442
J00,female,70_79,54505,74184,73999,803711,675675,55509,75687,75537,841098,701919,45862,62961,62824,698028,583862,35872,48296,48155,554450,461954,30804,40745,40615,470861,392432,22991,30357,30268,356032,294749,18183,23592,23532,279927,231631,18278,23397,23365,276042,228479,26684,34446,34408,391146,326596,34052,44244,44177,502545,421813,39660,52634,52556,587388,493730,51529,70421,70358,782081,655429,50623,69208,69073,786571,661419,39394,52168,52118,588761,495864,41995,56550,56517,643535,541146,38147,50984,50952,603199,503969,33099,44306,44288,535178,445349,23356,30879,30859,375811,312123,16727,21981,21982,275043,227858,18660,24343,24339,297222,247316,26791,35182,35134,420142,351948,29397,37349,37345,452296,376770,38687,51244,51180,605501,508773,53558,72040,71889,857615,716912,71303,102811,102648,1237597,1044815,45242,60192,60143,724601,612398,35823,47281,47225,592815,499188,32775,43210,43176,540075,457391,31369,41829,41810,532959,448643,22483,29805,29766,394319,331420,16813,21984,21967,285548,240361,15700,20251,20240,266449,224543,22564,29053,28964,372316,315657,36486,48195,48166,599625,509097,39906,52947,52903,655626,557126,47853,63662,63633,778533,660080
J00,female,80,21454,29363,29156,320982,268324,21624,29580,29291,332995,275882,19480,26934,26692,306112,254158,15108,20409,20209,236488,195884,13639,18428,18229,214669,177759,10557,14084,14052,162036,134392,8418,10979,10924,129441,106838,8234,10623,10564,128334,105747,11658,15100,15101,168979,141036,15153,19712,19639,220031,184742,17116,22892,22880,250151,210491,21733,29797,29621,335484,279859,22708,31187,31154,347277,291786,18588,24621,24580,276350,232861,19740,26888,26841,304445,256067,17393,23245,23159,279445,233000,16132,21709,21645,262994,218214,11959,15940,15918,189948,157454,8538,11372,11316,138853,115211,9526,12460,12402,150967,125105,12926,17121,17089,208568,173575,13656,17441,17432,208661,173769,18024,23772,23768,274649,231095,23969,32086,31997,383820,318797,34102,48952,48802,595023,496245,22218,29808,29735,362282,302516,17967,24002,23886,299706,250712,16100,21320,21229,264762,222268,15748,21073,20932,275438,229207,11699,15464,15447,195501,163811,9152,11909,11851,157590,130665,8417,10968,10945,143501,119798,11377,14470,14457,183834,154203,18486,24320,24253,304385,257065,19674,26004,25970,319981,269652,23072,30673,30577,384758,322102
