,,Date,16_1,16_1,16_1,16_1,16_1,16_2,16_2,16_2,16_2,16_2,16_3,16_3,16_3,16_3,16_3,16_4,16_4,16_4,16_4,16_4,16_5,16_5,16_5,16_5,16_5,16_6,16_6,16_6,16_6,16_6,16_7,16_7,16_7,16_7,16_7,16_8,16_8,16_8,16_8,16_8,16_9,16_9,16_9,16_9,16_9,16_10,16_10,16_10,16_10,16_10,16_11,16_11,16_11,16_11,16_11,16_12,16_12,16_12,16_12,16_12,17_1,17_1,17_1,17_1,17_1,17_2,17_2,17_2,17_2,17_2,17_3,17_3,17_3,17_3,17_3,17_4,17_4,17_4,17_4,17_4,17_5,17_5,17_5,17_5,17_5,17_6,17_6,17_6,17_6,17_6,17_7,17_7,17_7,17_7,17_7,17_8,17_8,17_8,17_8,17_8,17_9,17_9,17_9,17_9,17_9,17_10,17_10,17_10,17_10,17_10,17_11,17_11,17_11,17_11,17_11,17_12,17_12,17_12,17_12,17_12,18_1,18_1,18_1,18_1,18_1,18_2,18_2,18_2,18_2,18_2,18_3,18_3,18_3,18_3,18_3,18_4,18_4,18_4,18_4,18_4,18_5,18_5,18_5,18_5,18_5,18_6,18_6,18_6,18_6,18_6,18_7,18_7,18_7,18_7,18_7,18_8,18_8,18_8,18_8,18_8,18_9,18_9,18_9,18_9,18_9,18_10,18_10,18_10,18_10,18_10,18_11,18_11,18_11,18_11,18_11,18_12,18_12,18_12,18_12,18_12
코드,sex,age,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금,pnum,내원일수,청구건수,요양급여비용총액,보험자부담금
B301,male,70_79,37,76,76,1185,932,40,57,57,886,686,32,42,42,686,519,50,107,107,1593,1293,51,105,105,1773,1430,66,110,110,1675,1366,55,117,117,1863,1482,60,126,126,1827,1466,56,108,108,1593,1310,53,116,116,2082,1662,49,85,85,1562,1225,47,86,86,1268,1028,47,103,103,1536,1227,48,92,92,1544,1216,49,105,105,1570,1274,43,72,72,1193,920,62,98,98,1685,1291,57,122,122,1954,1529,66,122,122,2022,1567,84,184,184,3185,2404,55,134,134,2133,1704,53,95,95,1569,1206,37,79,79,1231,974,31,52,52,873,670,50,105,105,1721,1478,40,79,79,1499,1224,48,115,115,1934,1653,44,78,78,1342,1139,62,117,117,2075,1761,60,113,113,1930,1665,64,127,127,2296,1917,67,101,101,2111,1720,60,103,103,2356,1914,60,132,132,3137,2515,57,103,103,1899,1605,52,95,95,1683,1408
B301,male,80,8,14,14,263,203,4,8,8,164,128,7,13,13,196,152,7,9,9,135,113,10,18,18,273,222,11,26,26,387,320,21,51,51,730,606,12,26,26,371,303,20,49,49,712,589,15,30,30,559,402,9,18,18,270,214,13,35,35,565,418,10,27,27,409,352,8,15,15,217,176,12,23,23,344,272,10,23,23,338,278,12,21,21,432,332,18,26,26,400,294,17,22,22,467,348,11,20,20,310,259,8,14,14,232,188,9,13,13,211,153,7,17,17,268,214,8,22,22,358,285,14,19,19,313,266,16,31,31,612,507,10,18,18,283,236,13,20,20,341,297,14,18,18,409,302,13,17,17,331,276,19,30,30,490,431,11,22,22,438,365,23,43,43,833,684,19,30,30,524,451,10,14,14,443,325,9,27,27,440,373
B301,female,total,1364,2127,2118,37960,27547,1113,1664,1658,29249,21185,1030,1726,1726,28996,20803,1247,1970,1971,33240,24125,1336,2241,2231,38271,27890,1505,2552,2538,44358,32232,1558,2778,2758,47375,34879,2264,4064,4045,68835,50415,2482,4884,4868,80422,58535,1786,3644,3632,59802,43457,1311,2638,2635,42543,30824,1178,2187,2188,35460,25739,948,1636,1636,27691,19961,836,1449,1449,24771,17742,938,1666,1666,28238,20256,1125,1849,1849,32797,23438,1399,2310,2310,40446,28992,1280,2309,2309,39682,28574,1405,2551,2541,45433,32946,1835,3362,3362,57758,41581,1775,3650,3647,60989,44299,1195,2133,2130,38370,27516,1100,1889,1874,36525,26959,1164,1839,1839,33597,24011,1248,2024,2031,38455,28039,1115,1837,1836,33624,24850,1166,1963,1970,36581,26739,1590,2486,2486,46518,33698,1952,3010,3010,57422,41458,1775,2984,2984,56471,41118,1899,3381,3364,66205,48701,2752,4633,4585,95960,70917,2851,5202,5194,97415,70833,2353,4141,4107,84450,61920,1912,3141,3095,67646,50171,1708,2738,2722,53291,39085
B301,female,0_9,227,385,376,8175,6429,185,302,296,6073,4724,225,385,385,6385,4840,283,431,432,7321,5626,322,534,524,10133,7886,341,582,568,11789,9078,383,707,687,13965,10872,672,1264,1245,23326,17975,726,1503,1487,26069,19908,394,827,814,14950,11641,276,558,555,9196,7088,256,498,498,7918,6100,184,349,349,5878,4485,136,242,242,4227,3184,174,273,273,4701,3560,256,420,420,7354,5608,299,491,491,8862,6678,267,507,507,8679,6649,278,493,483,10360,8057,433,816,816,13571,10196,414,934,931,15600,11982,264,497,494,9040,6918,268,486,476,10139,8051,214,364,364,6331,4823,183,326,329,5782,4385,155,270,268,5738,4569,200,364,364,6701,5098,370,577,577,10684,8103,407,638,638,11984,9001,448,772,772,14173,10794,494,888,871,19632,15275,797,1418,1370,34977,27423,744,1400,1392,26056,19945,553,1042,1011,24216,19100,434,742,698,21516,17415,372,601,587,14032,11074
B301,female,10_19,76,129,129,2309,1633,62,103,103,1729,1228,89,167,167,2621,1860,105,177,177,2899,2046,113,202,202,3261,2334,132,226,226,3619,2506,123,216,216,3488,2476,208,379,379,6285,4426,238,524,524,8161,5748,200,444,444,7094,5016,165,333,333,5453,3856,125,252,253,3987,2783,70,106,106,2005,1367,57,88,88,1490,1026,48,77,77,1349,950,98,165,165,2858,2024,101,157,157,2663,1873,108,194,194,3186,2240,142,251,251,4236,2981,188,364,364,6138,4328,172,358,358,5796,4060,124,239,239,3987,2780,92,158,158,2725,1933,87,135,135,2601,1776,64,94,94,1595,1134,70,116,116,2187,1547,67,101,104,1966,1382,106,165,165,3054,2161,138,240,240,4248,3013,151,239,239,4671,3299,174,331,331,6338,4484,236,390,390,7512,5288,236,457,457,8494,6000,199,391,391,7353,5116,147,250,250,4861,3384,132,244,244,4466,3075
B301,female,20_29,113,177,177,3161,2218,100,146,146,2492,1734,100,143,143,2475,1713,140,195,195,3382,2341,119,171,171,2868,2004,121,178,178,2990,2078,127,217,217,3580,2496,178,272,272,4569,3180,194,287,287,4960,3422,162,280,280,4752,3250,115,177,177,3046,2109,97,162,162,2604,1821,90,137,137,2399,1657,83,117,117,2060,1418,88,130,130,2270,1571,95,125,125,2272,1517,134,203,203,3675,2547,124,195,195,3448,2399,142,197,197,3500,2453,167,273,273,4910,3417,139,207,207,3730,2607,111,175,175,3211,2220,111,156,156,2707,1862,90,122,122,2223,1523,115,184,186,3264,2278,100,132,132,2491,1672,106,162,162,2920,2031,160,236,236,4412,3044,161,212,212,4166,2897,142,209,209,3941,2774,162,238,238,4760,3303,210,312,312,6057,4245,211,319,319,6415,4470,158,253,253,5312,3727,162,237,237,4701,3278,133,173,173,3423,2379
B301,female,30_39,302,452,452,7606,5334,233,324,324,5558,3869,193,351,351,5834,4047,254,380,380,6436,4479,327,537,537,9072,6256,349,553,553,9082,6332,290,498,498,8102,5678,435,777,777,12520,8778,501,952,952,15491,10831,377,796,797,12483,8697,239,523,523,8139,5711,217,377,377,6157,4309,153,279,279,4612,3214,142,245,245,4349,2998,140,234,234,4031,2811,198,347,347,6111,4242,292,508,508,8663,6046,235,454,454,7614,5342,225,442,442,7379,5077,283,553,553,9359,6532,345,687,687,11449,7978,242,440,440,7888,5476,189,328,323,5990,4247,227,362,362,6521,4548,245,396,398,6970,4880,195,317,318,5838,4079,244,414,418,7629,5297,348,515,515,9611,6707,454,707,707,13372,9307,382,656,656,12376,8674,372,672,672,12365,8643,613,942,942,17365,12110,738,1305,1305,23944,16787,635,1027,1024,19654,13817,500,762,760,14718,10293,463,714,711,13390,9410
B301,female,40_49,179,270,270,4796,3275,149,213,213,3802,2627,136,226,226,3752,2618,150,226,226,4116,2934,136,225,225,3749,2638,185,332,332,5761,4070,182,326,326,5375,3774,236,420,420,6758,4742,272,523,523,8619,6052,232,422,422,6906,4850,165,347,347,5422,3784,157,276,276,4631,3256,123,213,213,3647,2566,111,185,185,3325,2281,136,254,254,4428,3070,149,253,253,4349,3040,159,285,285,4912,3409,161,269,269,5086,3470,161,313,313,5365,3735,217,427,427,7496,5235,206,466,466,7795,5462,151,268,268,5084,3543,127,209,209,3602,2526,162,259,259,4861,3391,174,275,275,4983,3479,160,259,259,4738,3308,147,221,221,4400,3030,194,309,309,5877,4045,276,398,398,8023,5607,211,353,353,6676,4686,212,381,381,7238,5054,303,554,554,10286,7241,351,634,634,12519,8739,290,499,499,9799,6852,244,419,419,7720,5368,235,376,376,6574,4562
B301,female,50_59,230,336,336,5688,3979,194,276,276,4824,3377,146,219,219,3940,2675,153,243,243,4135,2892,142,225,225,3714,2591,183,319,319,5576,3873,191,315,315,5127,3593,230,379,379,6192,4357,261,498,498,7832,5502,191,367,367,5868,4102,158,315,315,5061,3539,159,282,282,4707,3271,153,253,253,4437,3069,135,227,227,3955,2729,166,310,310,5241,3635,166,270,270,4781,3333,209,336,336,5917,4124,195,337,337,5836,4053,192,341,341,6062,4225,223,371,371,6558,4593,218,423,423,7314,5124,151,245,245,4572,3168,144,255,255,6282,4513,194,286,286,5274,3695,232,346,346,6622,4600,187,279,279,4868,3416,161,265,265,5103,3555,194,301,301,5670,3932,253,388,388,7471,5218,189,323,323,6735,4701,208,376,376,6921,4823,252,412,412,8628,6006,252,437,437,8219,5705,244,426,426,8414,5793,179,303,303,5659,3973,167,254,255,4802,3358
B301,female,60_69,162,252,252,4130,3039,112,180,180,2878,2121,80,120,120,2250,1632,109,218,218,3460,2593,108,211,211,3346,2482,108,201,201,3173,2343,152,279,279,4452,3274,192,342,342,5771,4186,196,400,400,6407,4713,148,309,309,4789,3472,118,244,244,3763,2738,101,202,202,3140,2279,101,164,164,2691,1957,95,179,179,2907,2122,111,230,230,3806,2702,107,169,169,3356,2374,139,215,215,3616,2629,117,217,217,3593,2619,149,293,293,4904,3547,181,312,312,5483,3961,169,358,358,5869,4340,89,141,141,2563,1853,109,184,184,3214,2349,126,201,201,3769,2724,167,284,284,7224,5585,151,254,254,4465,3383,133,247,247,4506,3507,146,242,242,4838,3662,166,250,250,4827,3638,176,294,294,5451,4112,171,287,287,5354,4045,227,413,413,7865,5837,217,422,422,7620,5720,190,353,353,6598,4966,174,310,310,5905,4389,134,215,215,3818,2883
